Country,location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,vaccinated,fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,human_development_index,A_Date,continent,iso_code
A,Angola,3,0,0.429,0,0,0,0.091,0,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,32866268,23.89,16.8,2.405,1.362,5819.495,0,276.045,3.94,0,0,61.15,0.581,2020-03-25,Africa,AGO
A,Antigua and Barbuda,3,0,0.286,0,0,0,30.635,0,2.918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97928,231.845,32.1,6.933,4.631,21490.943,0,191.511,13.17,0,0,77.02,0.778,2020-03-25,North America,ATG
A,Argentina,387,0,44,8,2,0.857,8.563,0,0.974,0.177,0.044,0.019,1.96,0,0,0,0,0,0,0,0,550,3614,0.08,0.012,319,0.007,0.242,4.1,tests performed,0,0,0,0,0,0,0,0,0,100,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,76.67,0.845,2020-03-25,South America,ARG
A,Armenia,265,16,25.857,0,0,0,89.429,5.4,8.726,0,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0,115,0.039,0.225,4.4,tests performed,0,0,0,0,0,0,0,0,0,0,2963234,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,75.09,0.776,2020-03-25,Asia,ARM
A,Australia,2364,320,256.571,8,0,0.286,92.706,12.549,10.062,0.314,0,0.011,1.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tests performed,0,0,0,0,0,0,0,0,0,68.52,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,83.44,0.944,2020-03-25,Oceania,AUS
A,Austria,5588,305,563.143,30,2,3.714,620.448,33.865,62.527,3.331,0.222,0.412,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.48,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,81.54,0.922,2020-03-25,Europe,AUT
A,Azerbaijan,93,6,9.286,2,1,0.143,9.172,0.592,0.916,0.197,0.099,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.52,10139175,119.309,32.4,6.018,3.871,15847.419,0,559.812,7.11,0.3,42.5,73,0.756,2020-03-25,Asia,AZE
B,Bahamas,5,0,0.571,0,0,0,12.715,0,1.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.3,393248,39.497,34.3,8.996,5.2,27717.847,0,235.954,13.17,3.1,20.4,73.92,0.814,2020-03-25,North America,BHS
B,Bahrain,419,27,23.286,4,1,0.429,246.241,15.868,13.685,2.351,0.588,0.252,1.28,0,0,0,0,0,0,0,0,0,0,0,0,1811,1.064,0.013,77.8,units unclear,0,0,0,0,0,0,0,0,0,69.44,1701583,1935.907,32.4,2.372,1.387,43290.705,0,151.689,16.52,5.8,37.6,77.29,0.852,2020-03-25,Asia,BHR
B,Bangladesh,39,0,3.571,5,1,0.571,0.237,0,0.022,0.03,0.006,0.003,0,0,0,0,0,0,0,0,0,126,920,0.006,0.001,70,0,0.051,19.6,tests performed,0,0,0,0,0,0,0,0,0,82.41,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,72.59,0.632,2020-03-25,Asia,BGD
